setup_id,count_financial_results,max_severity_financial_results,sentiment_score_financial_results,profit_warning,count_corporate_actions,max_severity_corporate_actions,sentiment_score_corporate_actions,capital_raise,count_governance,max_severity_governance,sentiment_score_governance,board_change,count_corporate_events,max_severity_corporate_events,sentiment_score_corporate_events,contract_award,merger_acquisition,count_other_signals,max_severity_other_signals,sentiment_score_other_signals,broker_recommendation,credit_rating_change,posts_avg_sentiment,post_count,community_sentiment_score,bull_bear_ratio,rumor_intensity,trusted_user_sentiment,posts_relevance,engagement_score,unique_users,contrarian_signal_numeric,recommendation_count,buy_recommendations,sell_recommendations,hold_recommendations,coverage_breadth,consensus_rating,recent_upgrades,recent_downgrades,analyst_conviction_score,label
SEE_2025-04-01,1,0.0,0.0,0,0,0.0,0.0,0,2,0.5,0.0,1,1,0.0,0.0,0,0,1,0.0,0.0,0,0,0.24864976,462,0.0,0.1875,0.17083333,0.0,0.5541667,0.46666667,390,0,12,24,0,0,3,2.5,0,0,0.5,negative
MARS_2025-03-31,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,-0.14285715,7,0.0,0.0,0.0,0.0,0.7,0.5,6,0,140,630,0,280,4,2.0,0,0,0.75,positive
EDEN_2025-03-31,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0,0.0,0.0,0,0,0.44444445,3,0.0,0.0,0.0,0.0,0.5,0.5,3,0,26,0,0,0,1,3.0,0,0,0.0,positive
GSK_2025-03-10,5,0.5,0.4,0,2,0.0,0.0,0,4,0.5,0.1,1,7,0.8,0.6,0,0,3,0.0,0.0,0,0,0.21645021,77,0.0,0.25,0.175,0.0,0.55,0.45,38,0,24,131,96,275,4,3.0,2,0,0.5,negative
MTRO_2025-03-03,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.31751412,59,0.0,0.6666667,0.33333334,0.0,0.6666667,0.5,34,0,30,30,50,40,3,3.0,0,5,0.3,positive
CVSG_2025-02-25,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.4,5,0.0,0.0,0.0,0.0,0.5,0.5,4,0,48,368,0,64,3,2.0,0,0,0.75,neutral
RUA_2025-02-04,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,1,0,0,0.0,0.0,0,0,0.30833334,100,0.19,1.625,0.15,0.19,0.78,0.655,98,1,30,0,0,0,2,3.0,0,0,0.0,negative
SDY_2025-02-03,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.25,4,0.0,0.0,0.5,0.0,0.6,0.4,4,0,87,435,0,0,3,2.5,0,0,0.5,neutral
LUCE_2025-01-10,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.0,1,0.0,1.0,0.0,0.0,0.8,0.5,1,0,73,219,0,0,3,2.0,0,0,0.75,positive
TPK_2024-12-19,1,0.0,0.0,0,0,0.0,0.0,0,3,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,1.0,3,0.0,1.0,0.0,0.0,0.8,0.5,2,0,54,486,0,432,3,2.0,0,0,0.9,negative
CCR_2024-12-16,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.5833333,4,0.0,0.0,0.0,0.0,0.6,0.5,1,0,99,396,0,198,3,2.0,0,0,0.8,negative
HICL_2024-11-20,,,,,,,,,,,,,,,,,,,,,,,0.4,5,0.1,1.0,0.0,0.0,0.8,0.6,5,0,54,216,0,108,3,2.0,0,0,0.8,negative
EXPN_2024-11-18,1,0.0,0.5,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,2,0.0,1.0,0.0,0.0,0.5,0.5,2,0,37,493,37,99,4,2.0,3,0,0.7,neutral
PAY_2024-11-14,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.3888889,6,0.0,0.0,0.0,0.0,0.5,0.5,2,0,87,203,87,0,3,3.5,0,3,0.25,neutral
VTY_2024-11-08,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.6231884,23,0.0,1.0,0.5,0.0,0.7,0.6,15,0,60,220,240,520,3,3.0,0,0,0.5,negative
PAY_2024-10-23,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,1,0.0,0.0,1,0,0,0.0,0.0,0,0,0.5,2,0.0,0.0,0.0,0.0,0.5,0.5,2,0,87,203,87,0,3,3.0,7,3,0.5,positive
LIO_2024-09-19,2,0.0,0.0,0,0,0.0,0.0,0,3,0.5,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.43137255,17,0.0,1.0,0.0,0.0,0.8,0.7,10,0,87,377,87,290,3,2.5,1,3,0.5,negative
